Country Name,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Saudi Arabia,12278,12875,14510,20645,25922,25036,25207,18000,24000,25000,28000,27000,28000,29000,30000,26000,18000,16000,20520,21470,21600,21640,21870,22275,22180,22400,24000,29000,29000,42100,44000,43600,51000,52000,38000,41000,41000,42000,42000,43000
Singapore,264,251,327,309,300,283,336,374,374,313,277,287,303,296,173,98,43,57,37,35,37,39,42,40,44,41,42,42,42,42,45,45,50,50,38,36,35,36,35,35
Sri Lanka,24200,24800,24800,26100,27100,26800,26320,25060,21440,20400,20350,23130,25730,24410,26160,27490,24400,25380,24950,23610,28720,27410,27900,29400,28200,29280,26250,23520,22280,22860,28490,22695,23650,23200,20550,22774,22931,20802,21600,21653
Syrian Arab Republic*,26210,32538,36196,33700,30250,29700,30000,29150,30800,30394,32298,32620,28640,28647,30495,33832,40000,41805,43396,46742,47079,42266,47047,47025,48200,55167,60304,65541,63751,63008,61599,70883,68238,69880,64830,64800,64800,53459,49369,51932
Taiwan*,2035,1920,2124,2612,2577,2324,2686,2842,3723,3574,3581,3385,3468,3688,3815,4913,4838,4948,4448,5168,4901,5057,5303,5523,5120,5573,5201,5068,5245,5661,5918,5737,5762,6250,6400,6400,6334,6605,6600,6805
Tajikistan,-,-,-,-,-,-,-,-,-,-,-,-,40900,28200,28000,32000,34000,25500,14700,15000,14800,16800,19900,25000,27100,26700,23700,25200,25100,25976,28642,29300,30683,38500,44200,77390,63117,248769,261927,272521
Thailand,123780,144000,146000,153698,153000,154400,156200,159000,162200,170880,180129,188715,263645,270756,265969,254281,231791,206019,183480,169911,130894,124457,115593,111636,116154,110766,118141,141950,141582,145200,154958,149039,140713,136425,133616,144702,140000,145000,140000,116267
Turkey,130380,142540,159524,160564,384797,318164,449832,326020,315403,367895,360704,339478,300605,295995,316585,292450,301835,379542,359000,349681,354636,331590,327630,290454,365000,321681,340705,431963,370619,325286,618584,644906,799344,869292,881999,1014926,1059195,987482,1003859,1075479
Turkmenistan,-,-,-,-,-,-,-,-,-,-,-,-,46000,50000,51000,51000,52400,54600,61100,63000,72000,80000,92000,100500,100000,103000,102000,138000,136000,140000,140004,140004,144990,142301,143183,143473,143418,143528,143883,146552
United Arab Emirates,3125,3000,3750,5500,6250,5250,5500,5500,5375,4990,5385,5465,5600,6313,8250,10875,6750,7150,8125,7625,15325,8135,9208,20000,20500,7050,5000,7500,11250,14750,15000,15375,15750,16000,14881,18501,18098,18012,18019,18534
Uzbekistan,-,-,-,-,-,-,-,-,-,-,-,-,323300,378000,390000,392000,362000,387000,400000,370500,390000,404000,425300,455900,493600,518100,551590,551000,586000,622700,665300,667500,708200,750000,800000,850000,873564,835000,1050285,938274
Vietnam,36800,40755,50000,55100,58000,62340,56000,61600,70500,72000,75000,75500,77500,75000,80200,64548,70075,71797,83154,85498,93819,97780,102454,107540,119789,142163,174416,206145,227196,263379,278911,287169,293969,285442,293100,299700,308608,321666,334472,355288
"Yemen, Rep.",34000,34100,34200,34400,34600,35000,34900,35900,36360,37453,37953,36815,37551,38677,39837,40634,41649,43107,45262,47110,51698,56188,59283,69541,70931,72627,72793,81936,90242,96735,107512,109850,111286,111787,77095,72126,65635,63666,62393,70187
Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico,970706,1013663,1025155,1032456,990722,1028790,1028240,953380,947380,951930,900100,865960,898800,859630,899460,928210,1016500,1089480,1181920,1263530,1263440,1261610,1297530,1203610,1500140,1469980,1328700,1277650,1303630,1239440,1240625,1105995,1026027,1023995,1068591,1017551,1111992,1167695,1231352,1388625
United States,740755,835825,861940,944295,925020,926771,1247856,1272593,1271000,1162780,1113919,1188687,1247195,1256478,1364711,1412336,1329947,1340071,1379768,1399629,1408618,1444621,1467574,1503760,1543730,1557707,1612992,1635040,1667136,1704985,1744738,1803932,1820547,1806758,1827152,1845236,1878705,1926901,1980846,2027634
Antigua and Barbuda,9998990,10353000,10425000,10746000,10927000,10996000,11292000,10884000,10879000,10633000,10465000,10316064,10394989,10471646,10454863,11061317,11441428,11578866,11562083,11684553,12016583,12195753,11890031,12334552,11947637,11180612,11242845,11909626,12030872,12091245,11818953,11969954,11916067,11788608,11698116,10777601,11470607,11907239,12219203,12348749
Argentina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bahamas, The",509,468,415,457,420,600,600,600,600,450,520,550,550,550,550,530,500,480,460,470,470,500,510,520,520,520,520,520,560,560,148,152,156,159,147,146,150,150,76,60
Barbados,2839248,2939205,2550542,2455270,2553720,2847838,3023413,2574359,2506467,2558857,3007000,2918000,2784000,2808000,2783000,2688000,2694000,2712000,2469169,2719784,2718000,2461000,2493000,2658000,3024000,3130800,3033600,3223700,3131902,3378460,2630163,2498954,2595815,2821608,2674000,2727000,2644000,2844511,3066094,3135908
Belize,37,34,34,37,37,41,41,34,32,32,32,46,24,26,18,19,18,18,18,19,17,20,26,27,28,28,18,17,19,19,17,18,19,19,19,19,18,18,18,18
